State,Vehicle_Class,Vehicle_Category,Vehicle_Type,Month_Num,Year_Num,Predicted_EV_Sales,Month_Name
Chandigarh,Breakdown Van,Others,4W_Shared,12,2034,3.99,December
Chhattisgarh,Three Wheeler (Goods),Bus,Institution Bus,3,2035,0.0,March
Bihar,Harvester,4-Wheelers,3W_Goods_Lowspeed,5,2029,1370.135,May
Puducherry,Three Wheeler (Personal),Bus,3W_Personal,5,2026,6.855,May
Maharashtra,Omni Bus,4-Wheelers,2W_Personal,12,2035,523.01,December
Himachal Pradesh,Bulldozer,4-Wheelers,Others,8,2029,0.52,August
Tamil Nadu,Fork Lift,Bus,3W_Shared,8,2035,1070.755,August
Dnh And Dd,Tree Trimming Vehicle,4-Wheelers,2W_Personal,5,2035,1.775,May
Punjab,Goods Carrier,4-Wheelers,Others,10,2033,5.65,October
West Bengal,Dumper,3-Wheelers,3W_Shared_Lowspeed,11,2025,32.665,November
Goa,Excavator (Commercial),Others,3W_Goods,2,2025,230.43533333333335,February
Assam,Library Van,Bus,3W_Shared,11,2032,1507.305,November
Haryana,Mobile Workshop,Bus,Institution Bus,7,2026,0.0,July
Maharashtra,Motor Cycle/Scooter-Sidecar(T),4-Wheelers,3W_Goods_Lowspeed,12,2031,555.475,December
Manipur,Armoured/Specialised Vehicle,4-Wheelers,4W_Personal,10,2033,5.29,October
Bihar,Motor Car,Bus,4W_Shared,12,2035,0.33,December
Uttarakhand,Camper Van / Trailer (Private Use),Bus,3W_Goods_Lowspeed,4,2025,49.725,April
Punjab,Mobile Workshop,3-Wheelers,2W_Personal,6,2032,7.67,June
Bihar,Goods Carrier,2-Wheelers,2W_Shared,5,2030,1289.215,May
Mizoram,Luxury Cab,4-Wheelers,Others,6,2025,0.0,June
Madhya Pradesh,Hearses,4-Wheelers,3W_Goods,7,2033,1270.14,July
Karnataka,Motor Cycle/Scooter-Used For Hire,3-Wheelers,3W_Goods_Lowspeed,6,2030,102.475,June
Uttarakhand,Bus,Bus,Others,11,2035,0.0,November
West Bengal,Crane Mounted Vehicle,Bus,3W_Shared,4,2029,83.075,April
Uttar Pradesh,Tractor-Trolley(Commercial),3-Wheelers,3W_Personal,5,2029,0.075,May
Arunachal Pradesh,Vehicle Fitted With Rig,4-Wheelers,3W_Personal,8,2029,7.555,August
West Bengal,Moped,4-Wheelers,3W_Shared,1,2027,189.19125,January
Madhya Pradesh,Private Service Vehicle,2-Wheelers,3W_Goods_Lowspeed,7,2031,19.04,July
Dnh And Dd,Power Tiller (Commercial),Others,Bus,2,2026,0.0,February
Bihar,Trailer For Personal Use,Bus,3W_Goods_Lowspeed,4,2031,44.76,April
Chhattisgarh,Excavator (Nt),3-Wheelers,Others,5,2032,289.365,May
Punjab,Vehicle Fitted With Rig,2-Wheelers,3W_Personal,3,2030,29.97,March
Ladakh,Auxiliary Trailer,Bus,3W_Shared_Lowspeed,11,2030,37.715,November
Arunachal Pradesh,M-Cycle/Scooter-With Side Car,3-Wheelers,3W_Personal,12,2032,0.035,December
Chandigarh,Motor Cycle/Scooter-With Trailer,Others,3W_Shared,3,2026,74.985,March
Andhra Pradesh,Private Service Vehicle (Individual Use),Bus,Bus,8,2033,0.0,August
Sikkim,Vehicle Fitted With Generator,3-Wheelers,3W_Shared,9,2026,90.805,September
Tripura,Semi-Trailer (Commercial),2-Wheelers,Institution Bus,1,2026,186.41000000000005,January
Andaman & Nicobar Island,Camper Van / Trailer (Private Use),Bus,Institution Bus,3,2029,0.0,March
Madhya Pradesh,Tractor (Commercial),Bus,Institution Bus,2,2030,0.135,February
Meghalaya,Maxi Cab,3-Wheelers,2W_Shared,5,2032,0.585,May
Nagaland,Camper Van / Trailer,Others,Others,12,2027,0.005,December
Sikkim,Camper Van / Trailer,Bus,Institution Bus,10,2028,0.0,October
Karnataka,Motor Caravan,3-Wheelers,2W_Personal,7,2029,131.17,July
Punjab,Semi-Trailer (Commercial),3-Wheelers,2W_Shared,1,2030,28.194000000000003,January
Assam,Tractor (Commercial),2-Wheelers,Institution Bus,9,2031,253.3,September
Maharashtra,Motor Cycle/Scooter-With Trailer,3-Wheelers,Bus,4,2035,150.125,April
Chandigarh,X-Ray Van,3-Wheelers,3W_Shared_Lowspeed,9,2035,53.43,September
Odisha,Motor Cycle/Scooter-With Trailer,2-Wheelers,3W_Shared_Lowspeed,7,2032,49.415,July
Jharkhand,Mobile Workshop,2-Wheelers,2W_Shared,6,2031,14.035,June
Nagaland,Semi-Trailer (Commercial),3-Wheelers,3W_Goods,2,2033,0.0,February
Maharashtra,Motor Cycle/Scooter-With Trailer,2-Wheelers,3W_Personal,1,2030,41.95108333333334,January
Sikkim,Vehicle Fitted With Compressor,4-Wheelers,2W_Personal,5,2033,0.235,May
